ID,Nombre,FechaNacimiento,Sexo,ValorUnitario,EstadoMora,Embargable
504375,Cotizante504375,1995-07-05,M,40738.41289970561,true,false
772281,Cotizante772281,1985-09-06,F,37885.92341249617,true,false
187026,Cotizante187026,1989-08-01,F,36412.23739541323,false,false
846170,Cotizante846170,1991-01-23,M,43828.348949076026,true,true
395054,Cotizante395054,1959-01-13,F,28886.212840823988,true,false
139971,Cotizante139971,1969-08-19,M,22526.954499415766,true,true
818560,Cotizante818560,1969-04-01,M,28222.656124244102,true,true
774532,Cotizante774532,1969-03-24,F,48011.03014403019,false,true
153665,Cotizante153665,1988-11-03,F,47052.497071959064,false,false
376321,Cotizante376321,1984-04-19,M,39506.017410186134,true,false
689466,Cotizante689466,1964-05-09,M,48065.68364607536,false,false
176282,Cotizante176282,1984-11-09,F,22303.272163913793,true,true
649865,Cotizante649865,1992-05-27,F,44763.87454696571,false,false
536110,Cotizante536110,1990-07-08,F,21188.205569137972,true,false
621270,Cotizante621270,1967-12-12,F,20200.55090237644,false,true
453444,Cotizante453444,1953-09-14,F,30865.494803275848,false,true
106448,Cotizante106448,1963-12-09,F,49309.38956892954,true,true
421566,Cotizante421566,1976-09-20,M,31597.298756754168,true,false
950942,Cotizante950942,1969-05-25,M,35237.42299134689,true,true
704419,Cotizante704419,1950-06-17,M,27419.49321869528,false,true
810143,Cotizante810143,1952-08-19,M,26458.478976638686,true,false
109768,Cotizante109768,1957-11-08,M,36280.409470666986,false,false
495150,Cotizante495150,1976-07-07,M,37684.876396589316,true,true
188939,Cotizante188939,1976-12-24,F,44486.31021089567,true,true
456178,Cotizante456178,1951-05-20,F,22578.147641766118,false,true
443405,Cotizante443405,1965-03-05,F,48231.118569688304,true,true
639357,Cotizante639357,1987-01-20,M,26181.565692959543,true,true
169246,Cotizante169246,1992-06-28,M,42229.74219492766,false,false
900168,Cotizante900168,1966-08-15,M,33482.07428154762,true,false
94882,Cotizante94882,1997-10-04,F,25989.004084256216,false,true
674809,Cotizante674809,1988-09-13,F,31592.43907898778,false,false
323522,Cotizante323522,1964-10-19,M,23137.190786983432,false,true
117462,Cotizante117462,1958-07-11,M,37652.97865861797,false,false
35775,Cotizante35775,1976-02-22,F,43649.00267288085,true,true
334283,Cotizante334283,1984-11-07,M,49497.43719314151,true,true
581888,Cotizante581888,1993-11-05,M,20282.754319243646,true,true
726363,Cotizante726363,1951-07-28,M,30574.699908011706,true,true
447780,Cotizante447780,1951-07-27,F,30760.301540110788,false,false
674553,Cotizante674553,1998-11-09,M,28429.09813462889,false,false
203642,Cotizante203642,1961-05-04,M,36337.73409426955,false,true
872909,Cotizante872909,1977-06-05,F,33329.15851158616,false,false
899684,Cotizante899684,1974-05-22,M,32453.902837335954,true,false
92713,Cotizante92713,1976-04-06,F,39296.24256185094,true,true
326471,Cotizante326471,1976-01-01,M,35350.4007012824,true,false
776050,Cotizante776050,1989-09-25,F,22736.56467864599,true,true
365073,Cotizante365073,1983-04-23,F,44061.750087098604,true,true
316162,Cotizante316162,1961-04-05,M,24129.250349574904,true,false
418350,Cotizante418350,1971-10-19,M,33858.0159993158,true,true
630667,Cotizante630667,1964-07-05,F,39869.50425947919,true,true
286723,Cotizante286723,1969-11-17,F,32898.31886336361,true,false
351150,Cotizante351150,1950-12-03,M,24057.294163089282,true,true
127484,Cotizante127484,1988-11-05,M,30586.458764299008,true,true
102761,Cotizante102761,1999-01-17,M,41321.244629051085,false,false
900997,Cotizante900997,1957-10-15,F,48656.52275861977,true,false
777020,Cotizante777020,1997-09-21,M,36332.04738976598,true,false
855555,Cotizante855555,1983-02-28,M,25021.989133161187,false,false
265763,Cotizante265763,1970-10-24,F,48067.84187657487,false,false
472925,Cotizante472925,1953-08-08,F,49381.05427136031,false,false
698913,Cotizante698913,1982-02-12,F,23392.25439550308,false,true
619824,Cotizante619824,1993-06-24,M,33909.92735394789,false,false
566047,Cotizante566047,1986-04-13,M,34888.31078880613,false,true
703416,Cotizante703416,1992-06-06,F,26550.08905583969,true,false
411486,Cotizante411486,1989-09-22,M,22159.464239968,false,false
138953,Cotizante138953,1973-01-08,F,27369.428442765337,true,false
100941,Cotizante100941,1993-05-19,M,31196.75309562767,false,true
234607,Cotizante234607,1961-11-04,F,20215.53442702142,true,true
104700,Cotizante104700,1970-09-15,F,48801.062575972435,false,false
252225,Cotizante252225,1993-01-09,M,23153.843609095937,false,false
479987,Cotizante479987,1977-12-24,F,28738.430454216927,true,true
596921,Cotizante596921,1976-04-06,F,26186.337100656856,false,true
777459,Cotizante777459,1953-09-01,M,31520.32474145534,false,true
64761,Cotizante64761,1986-04-04,F,20692.973445967637,true,true
655523,Cotizante655523,1990-11-16,M,32195.258081425527,false,false
255983,Cotizante255983,1992-07-27,M,45121.27557341945,false,false
673514,Cotizante673514,1972-03-09,M,36055.96958975293,true,true
329108,Cotizante329108,1974-11-05,M,47206.10268839419,false,false
48072,Cotizante48072,1975-02-09,M,24466.082997852533,true,false
289269,Cotizante289269,1968-08-14,M,39328.24915267271,false,false
912345,Cotizante912345,1969-08-03,M,43610.88629115946,false,true
471286,Cotizante471286,1965-04-04,F,24371.088831012923,true,true
504351,Cotizante504351,1987-02-07,M,35707.94700470425,false,true
565131,Cotizante565131,1989-12-05,M,43716.288498090216,true,false
559881,Cotizante559881,1996-08-13,F,38090.32117216739,true,false
86297,Cotizante86297,1970-05-22,F,37991.82899057975,true,true
466754,Cotizante466754,1984-04-09,F,45464.63804742729,true,true
337200,Cotizante337200,1950-10-13,M,32353.05816733982,false,true
221116,Cotizante221116,1992-03-01,M,26616.55195172058,false,false
740429,Cotizante740429,1952-07-05,F,28759.593578023923,true,true
886366,Cotizante886366,1984-05-22,F,34030.42423400741,false,false
7407,Cotizante7407,1983-12-27,F,21551.85051478979,false,false
895913,Cotizante895913,1959-03-28,M,28196.47588192009,true,true
15628,Cotizante15628,1955-07-20,M,22707.390985498943,true,true
782149,Cotizante782149,1952-11-08,F,46105.67246102764,true,true
729352,Cotizante729352,1971-07-10,M,42424.205291680286,false,true
198431,Cotizante198431,1976-06-15,F,27640.781079412875,false,true
352887,Cotizante352887,1961-03-26,M,25183.67759507007,true,true
584544,Cotizante584544,1982-11-27,F,47646.802435364865,false,false
507901,Cotizante507901,1966-12-03,M,43932.2654472598,false,false
362762,Cotizante362762,1985-04-13,M,43952.474059485896,false,false
185328,Cotizante185328,1981-04-08,F,36214.20772692832,true,false
